fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	max_bin	min_gain_to_split	lambda_l1	lambda_l2	ganancia	iteracion
20220601 013207	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	31	1353	TRUE	0.0112795966188153	0.366585090852649	4873	1079	0.0130716126195676	0.00564094741021693	7.33249886552916	18.1790279288639	37126000	50
20220601 013708	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	31	2820	TRUE	0.0089410876058718	0.47683800655896	4938	1323	0.0132551727310025	0.00375693752138173	9.88162694324879	96.5936991400533	37302000	51
20220601 014258	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	31	3447	TRUE	0.00839997939220683	0.495372976673587	6977	1278	0.0128220032220114	0.00365734491524395	8.48600422989052	60.6494929129676	37191000	52
20220601 014521	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	31	1275	TRUE	0.0107856150283763	0.345599990675796	6121	1009	0.0136055847001809	0.00511752018088059	8.04914096811126	47.0033220562947	36942000	53
20220601 015119	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	31	3088	TRUE	0.00460131821818084	0.482167867568105	4485	784	0.0143929734549082	0.00703775803370722	8.682114348045	92.3696216351088	37137000	54
20220601 020444	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	31	5825	TRUE	0.00144739156929809	0.481285806979493	4849	1079	0.0167865046813882	0.00798703314657463	8.94834930150091	24.7994220256155	36796000	55
20220601 020734	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	31	1405	TRUE	0.00940881418269832	0.399622391550278	4963	1311	0.0131113558752906	0.00189672205803469	7.03581134590236	34.5657845171241	37144000	56
20220601 021325	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	31	2990	TRUE	0.00431111420842962	0.490688932136876	7670	842	0.0168226188324328	0.00507438478260524	6.60922636012747	92.701477383779	36884000	57
20220601 021517	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	31	969	TRUE	0.0116324715121757	0.309462535629873	1854	774	0.0138290735404502	0.00737885013503351	13.9845911333727	66.0604207520594	37054000	58
20220601 022122	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	31	2820	TRUE	0.00384866446765325	0.489336969697225	4513	792	0.0134603540093171	0.00604871693449013	10.2455398527677	31.3542054063998	37169000	59
20220601 022459	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	31	2146	TRUE	0.0107524828893182	0.393644742776161	4615	1286	0.0130714939648853	0.00338052911727422	8.25521040566858	95.2072730901093	37418000	60
20220601 022649	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	31	830	TRUE	0.010468353902207	0.388530196284284	4337	754	0.0160434585009794	0.00637202022238182	8.639101813672	63.7996334006281	36809000	61
20220601 023838	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	31	6466	TRUE	0.00223409777973973	0.307219488564767	83	817	0.0135501384577515	0.0067380703293639	11.8970318640376	22.0993414457483	37154000	62
20220601 024045	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	31	1294	TRUE	0.0114539887635865	0.285016979820661	70	863	0.0135641818626159	0.00862014274458638	20.9719952871143	24.6209552320835	36481000	63
20220601 025410	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	31	8889	TRUE	0.0015256534865714	0.29927697804332	887	793	0.0130559871508868	0.00571220542429316	7.64144006187443	93.4771678359815	37303000	64
20220601 030618	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	31	9999	TRUE	0.00113306355190122	0.285075479041632	3260	821	0.0133792163317113	0.00635821597557264	11.2763972252217	64.4307771642536	36989000	65
20220601 031103	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	31	2477	TRUE	0.00782784456851153	0.385964255777863	692	807	0.0126166948305056	0.00605749324837654	8.88783432271044	98.3996504960075	37771000	66
20220601 031450	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	31	1608	TRUE	0.00956033173328089	0.423536052066043	430	811	0.0103038941585427	0.00469972779384168	1.21499354214394	99.9831647605606	37157000	67
20220601 031614	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	31	518	TRUE	0.0181447061341011	0.36151243003009	165	832	0.0132795364289374	0.00637999115943054	4.94637134815837	99.9655756623073	37165000	68
20220601 031912	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	31	1623	TRUE	0.00790367781074835	0.390694459893153	108	800	0.0131280954233161	0.0061218316736622	26.0970201863349	99.7597293662114	36639000	69
20220601 032442	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	31	2773	TRUE	0.00667379742981845	0.391815494860321	1299	711	0.0123754089001469	0.00769141862968993	0.218664796811046	86.3169365001528	37999000	70
20220601 033209	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	31	4094	TRUE	0.00560484497577511	0.367075976862437	1281	551	0.0122652748480494	0.00719671120827387	0.262390312837719	99.899630840427	37917000	71
20220601 033955	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	31	4418	TRUE	0.00679766915791909	0.384542809644377	1961	715	0.0121647889228514	0.00887634890008441	1.90272661265902	99.8609092966516	37823000	72
20220601 034547	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	31	3021	TRUE	0.00690419526850948	0.396723210026367	1239	653	0.0121740494292303	0.00689401605934238	0.205285264692094	84.3126963572793	37922000	73
20220601 035122	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	31	2744	TRUE	0.00628327606107872	0.4016194355382	1188	808	0.0125242384201085	0.00698969010086905	0.157444881014944	95.7109712271442	38150000	74
20220601 035553	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	31	1854	TRUE	0.00437786385305697	0.356691379619216	754	867	0.0185176273076807	0.00731546307170214	0.140954814072279	99.826756036096	36560000	75
20220601 035738	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	31	927	TRUE	0.0119847400100001	0.328898458131033	7987	1294	0.0177410607399352	0.00276034133987611	7.71628257367438	7.86273618825422	36917000	76
20220601 035932	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	31	672	TRUE	0.0149089821392699	0.401628897713589	1012	510	0.0126179647782965	0.00761953045540652	0.0855235700035947	8.9274957307479	37212000	77
20220601 040207	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	31	1408	TRUE	0.0164184023764253	0.441151528984052	3244	503	0.0125547312227812	0.00581482722441875	0.213192864110981	89.6839749973143	37428000	78
20220601 041214	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	31	5573	TRUE	0.00211487105070244	0.365159165111576	7979	1110	0.0189942859445158	0.00318379002914339	9.07218648129789	31.5794137004825	36712000	79
20220601 041723	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	31	3434	TRUE	0.00514348886803192	0.240840427060061	7751	1498	0.0169156390313494	0.00539580323131503	9.20584717870451	47.2815760616435	37208000	80
20220601 041849	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	31	938	TRUE	0.0199937688799129	0.205717995133505	6622	1373	0.0171696308808345	0.00246608371461418	7.3946681849184	59.0727306848461	36957000	81
20220601 042032	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	31	1249	TRUE	0.0125494701688229	0.123279796319579	4011	1499	0.0163792052180646	0.00739048146650801	6.64526533624785	0.373411129708585	37025000	82
20220601 042210	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	31	731	TRUE	0.0121081891861693	0.206297535108816	664	1481	0.0124405873469458	0.00497513542383789	0.482816287568953	67.2847328748749	37201000	83
