cp	max_depth	max_bucket	min_split	ganancia_promedio
-0.1	6	300	400	9793333
-0.1	6	300	200	9793333
-0.1	6	300	100	9793333
-0.1	6	300	50	9793333
-0.1	6	300	20	9793333
-0.1	6	300	10	9793333
-0.1	6	200	1000	10176667
-0.1	6	200	800	10193333
-0.1	6	200	600	10310000
-0.1	6	200	400	10236667
-0.1	6	200	200	10236667
-0.1	6	200	100	10236667
-0.1	6	200	50	10236667
-0.1	6	200	20	10236667
-0.1	6	200	10	10236667
-0.1	6	100	1000	10116667
-0.1	6	100	800	10213333
-0.1	6	100	600	10013333
-0.1	6	100	400	9886667
-0.1	6	100	200	10096667
-0.1	6	100	100	10096667
-0.1	6	100	50	10096667
-0.1	6	100	20	10096667
-0.1	6	100	10	10096667
-0.1	6	50	1000	10046667
-0.1	6	50	800	10253333
-0.1	6	50	600	9990000
-0.1	6	50	400	9526667
-0.1	6	50	200	9526667
-0.1	6	50	100	9413333
-0.1	6	50	50	9413333
-0.1	6	50	20	9413333
-0.1	6	50	10	9413333
-0.1	6	20	1000	10180000
-0.1	6	20	800	10390000
-0.1	6	20	600	10390000
-0.1	6	20	400	10326667
-0.1	6	20	200	10326667
-0.1	6	20	100	10443333
-0.1	6	20	50	10506667
-0.1	6	20	20	10506667
-0.1	6	20	10	10506667
-0.1	6	10	1000	9593333
-0.1	6	10	800	9816667
-0.1	6	10	600	9816667
-0.1	6	10	400	9816667
-0.1	6	10	200	9816667
-0.1	6	10	100	9816667
-0.1	6	10	50	9896667
-0.1	6	10	20	9716667
-0.1	6	10	10	9716667
-0.1	6	5	1000	9673333
-0.1	6	5	800	9663333
-0.1	6	5	600	9663333
-0.1	6	5	400	9663333
-0.1	6	5	200	9663333
-0.1	6	5	100	9663333
-0.1	6	5	50	9663333
-0.1	6	5	20	9663333
-0.1	6	5	10	9686667
-0.1	8	500	1000	10340000
-0.1	8	500	800	10340000
-0.1	8	500	600	10340000
-0.1	8	500	400	10340000
-0.1	8	500	200	10340000
-0.1	8	500	100	10340000
-0.1	8	500	50	10340000
-0.1	8	500	20	10340000
-0.1	8	500	10	10340000
-0.1	8	400	1000	10070000
-0.1	8	400	800	10086667
-0.1	8	400	600	10086667
-0.1	8	400	400	10086667
-0.1	8	400	200	10086667
-0.1	8	400	100	10086667
-0.1	8	400	50	10086667
-0.1	8	400	20	10086667
-0.1	8	400	10	10086667
-0.1	8	300	1000	9926667
-0.1	8	300	800	9283333
-0.1	8	300	600	8610000
-0.1	8	300	400	8610000
-0.1	8	300	200	8610000
-0.1	8	300	100	8610000
-0.1	8	300	50	8610000
-0.1	8	300	20	8610000
-0.1	8	300	10	8610000
-0.1	8	200	1000	9920000
-0.1	8	200	800	9276667
-0.1	8	200	600	8753333
-0.1	8	200	400	8433333
-0.1	8	200	200	8433333
-0.1	8	200	100	8433333
-0.1	8	200	50	8433333
-0.1	8	200	20	8433333
-0.1	8	200	10	8433333
-0.1	8	100	1000	8290000
-0.1	8	100	800	8276667
-0.1	8	100	600	9170000
-0.1	8	100	400	8736667
-0.1	8	100	200	9536667
-0.1	8	100	100	9536667
-0.1	8	100	50	9536667
-0.1	8	100	20	9536667
-0.1	8	100	10	9536667
-0.1	8	50	1000	8966667
-0.1	8	50	800	9183333
-0.1	8	50	600	9690000
-0.1	8	50	400	8953333
-0.1	8	50	200	9223333
-0.1	8	50	100	8766667
-0.1	8	50	50	8766667
-0.1	8	50	20	8766667
-0.1	8	50	10	8766667
-0.1	8	20	1000	9556667
-0.1	8	20	800	9980000
-0.1	8	20	600	10093333
-0.1	8	20	400	9906667
-0.1	8	20	200	10110000
-0.1	8	20	100	10096667
-0.1	8	20	50	9776667
-0.1	8	20	20	9796667
-0.1	8	20	10	9796667
-0.1	8	10	1000	9386667
-0.1	8	10	800	9766667
-0.1	8	10	600	9733333
-0.1	8	10	400	9550000
-0.1	8	10	200	9803333
-0.1	8	10	100	9780000
-0.1	8	10	50	9860000
-0.1	8	10	20	9720000
-0.1	8	10	10	9720000
-0.1	8	5	1000	9560000
-0.1	8	5	800	9483333
-0.1	8	5	600	9483333
-0.1	8	5	400	9483333
-0.1	8	5	200	9680000
-0.1	8	5	100	9680000
-0.1	8	5	50	9680000
-0.1	8	5	20	9706667
-0.1	8	5	10	9756667
-0.1	10	500	1000	10340000
-0.1	10	500	800	10340000
-0.1	10	500	600	10340000
-0.1	10	500	400	10340000
-0.1	10	500	200	10340000
-0.1	10	500	100	10340000
-0.1	10	500	50	10340000
-0.1	10	500	20	10340000
-0.1	10	500	10	10340000
-0.1	10	400	1000	10070000
-0.1	10	400	800	10086667
-0.1	10	400	600	10086667
-0.1	10	400	400	10086667
-0.1	10	400	200	10086667
-0.1	10	400	100	10086667
-0.1	10	400	50	10086667
-0.1	10	400	20	10086667
-0.1	10	400	10	10086667
-0.1	10	300	1000	9926667
-0.1	10	300	800	9283333
-0.1	10	300	600	7800000
-0.1	10	300	400	7800000
-0.1	10	300	200	7800000
-0.1	10	300	100	7800000
-0.1	10	300	50	7800000
-0.1	10	300	20	7800000
-0.1	10	300	10	7800000
-0.1	10	200	1000	9660000
-0.1	10	200	800	9093333
-0.1	10	200	600	7786667
-0.1	10	200	400	7663333
-0.1	10	200	200	7663333
-0.1	10	200	100	7663333
-0.1	10	200	50	7663333
-0.1	10	200	20	7663333
-0.1	10	200	10	7663333
-0.1	10	100	1000	8390000
-0.1	10	100	800	8376667
-0.1	10	100	600	9043333
-0.1	10	100	400	7550000
-0.1	10	100	200	8360000
-0.1	10	100	100	8360000
-0.1	10	100	50	8360000
-0.1	10	100	20	8360000
-0.1	10	100	10	8360000
-0.1	10	50	1000	8666667
-0.1	10	50	800	8883333
-0.1	10	50	600	9116667
-0.1	10	50	400	7330000
-0.1	10	50	200	7230000
-0.1	10	50	100	7183333
-0.1	10	50	50	7183333
-0.1	10	50	20	7183333
-0.1	10	50	10	7183333
-0.1	10	20	1000	8766667
-0.1	10	20	800	9106667
-0.1	10	20	600	9370000
-0.1	10	20	400	8163333
-0.1	10	20	200	8166667
-0.1	10	20	100	8173333
-0.1	10	20	50	7860000
-0.1	10	20	20	7240000
-0.1	10	20	10	7240000
-0.1	10	10	1000	9363333
-0.1	10	10	800	9743333
-0.1	10	10	600	9860000
-0.1	10	10	400	9440000
-0.1	10	10	200	9473333
-0.1	10	10	100	9336667
-0.1	10	10	50	9466667
-0.1	10	10	20	8836667
-0.1	10	10	10	8836667
-0.1	10	5	1000	9520000
-0.1	10	5	800	9443333
-0.1	10	5	600	9593333
-0.1	10	5	400	9143333
-0.1	10	5	200	9316667
-0.1	10	5	100	9200000
-0.1	10	5	50	9253333
-0.1	10	5	20	9373333
-0.1	10	5	10	9286667
-0.1	12	500	1000	10340000
-0.1	12	500	800	10340000
-0.1	12	500	600	10340000
-0.1	12	500	400	10340000
-0.1	12	500	200	10340000
-0.1	12	500	100	10340000
-0.1	12	500	50	10340000
-0.1	12	500	20	10340000
-0.1	12	500	10	10340000
-0.1	12	400	1000	10070000
