fecha	gamma	alpha	lambda	subsample	tree_method	grow_policy	max_bin	max_depth	scale_pos_weight	eta	colsample_bytree	min_child_weight	max_leaves	prob_corte	nrounds	ganancia	iteracion
20220531 004940	0	0	0	1	hist	lossguide	256	0	1	0.0767763909988355	0.858055244419506	9	426	0.0122865903368628	19	13294000	41
20220531 005239	0	0	0	1	hist	lossguide	256	0	1	0.0105736123419223	0.233556146772883	8	2	0.0125088913750839	1035	12641000	42
20220531 005547	0	0	0	1	hist	lossguide	256	0	1	0.0100190972044409	0.811792719476885	9	435	0.0124419244195389	134	13394000	43
20220531 005909	0	0	0	1	hist	lossguide	256	0	1	0.0104415728153667	0.219941462855426	5	1021	0.0119107001806726	105	13047000	44
20220531 010322	0	0	0	1	hist	lossguide	256	0	1	0.0100211268229158	0.326173361798493	7	728	0.0135259262517616	332	13130000	45
20220531 010402	0	0	0	1	hist	lossguide	256	0	1	0.116724933510233	0.83167605773966	5	1024	0.011361615369727	18	11833000	46
20220531 010457	0	0	0	1	hist	lossguide	256	0	1	0.0507721449120797	0.867790624155353	8	255	0.0125926713544724	31	13048000	47
20220531 010559	0	0	0	1	hist	lossguide	256	0	1	0.0863174087775263	0.943706385431941	10	2	0.0187801954027684	385	13440000	48
20220531 010643	0	0	0	1	hist	lossguide	256	0	1	0.149501575892213	0.934910804490782	9	2	0.0177973906540537	247	13340000	49
20220531 010716	0	0	0	1	hist	lossguide	256	0	1	0.0979325274510889	0.998755098641011	10	5	0.0156826007687881	78	12964000	50
20220531 010846	0	0	0	1	hist	lossguide	256	0	1	0.0192337290367803	0.898317811717859	9	6	0.0198831219425733	223	12788000	51
20220531 010919	0	0	0	1	hist	lossguide	256	0	1	0.145974195581424	0.902126046881496	10	148	0.0189368311749632	14	11594000	52
20220531 011030	0	0	0	1	hist	lossguide	256	0	1	0.0827744007383337	0.816266219446069	9	2	0.0175565732694732	408	13236000	53
20220531 011100	0	0	0	1	hist	lossguide	256	0	1	0.18586246248434	0.96386308979468	8	26	0.0148770956075899	23	11690000	54
20220531 011200	0	0	0	1	hist	lossguide	256	0	1	0.0429113076966001	0.949399823620631	10	396	0.0120379366423589	37	13132000	55
20220531 011243	0	0	0	1	hist	lossguide	256	0	1	0.123576501232312	0.24129837775267	9	2	0.018531858431733	242	13468000	56
20220531 011317	0	0	0	1	hist	lossguide	256	0	1	0.148850464291269	0.258491621106559	9	2	0.0134503447942051	162	12562000	57
20220531 011651	0	0	0	1	hist	lossguide	256	0	1	0.0100554472952231	0.25658849101007	10	180	0.0124061732145817	296	13103000	58
20220531 011805	0	0	0	1	hist	lossguide	256	0	1	0.0364391759210919	0.998811002659705	10	1023	0.0291050991107353	67	10845000	59
20220531 011855	0	0	0	1	hist	lossguide	256	0	1	0.106207144875361	0.216965246097243	7	2	0.0180910631211532	298	13310000	60
