fecha	num.rondas	t1	t2	t3	t4	t5	t6	t7	t8	t9	t10	tasa_eleccion_correcta	iteracion
20220526 041003	8	76	66	92	110	108	20	56	63	46	113	0.9884	88
20220526 041325	10	49	126	132	38	96	116	46	43	29	51	0.9759	89
20220526 041531	4	60	94	56	127	6	113	0	87	104	42	0.9693	90
20220526 041822	8	69	84	123	90	98	27	109	9	103	60	0.9723	91
20220526 042057	10	77	106	130	54	53	79	35	86	47	124	0.9549	92
20220526 042257	4	41	115	130	79	27	8	71	51	126	36	0.9572	93
20220526 042707	10	79	59	118	17	34	57	30	82	129	41	0.9795	94
20220526 043102	9	83	35	88	92	70	47	63	60	30	78	0.9866	95
20220526 043328	5	75	35	71	136	31	123	3	95	15	49	0.9698	96
20220526 043725	9	73	63	68	50	106	98	40	14	21	78	0.9877	97
20220526 044140	10	57	76	114	37	45	111	34	74	94	49	0.9837	98
20220526 044434	7	58	91	134	67	65	73	29	92	135	114	0.9788	99
20220526 044810	10	80	46	126	130	115	27	6	72	121	69	0.9874	100
20220526 045219	10	77	24	139	112	112	78	117	13	14	55	0.9857	101
20220526 045554	10	85	49	130	112	120	36	42	3	32	72	0.9778	102
20220526 050015	10	77	5	136	103	101	58	44	40	130	68	0.9706	103
20220526 050432	10	66	91	58	38	11	117	122	72	4	15	0.9774	104
20220526 050751	8	79	26	128	139	106	63	112	82	15	119	0.9872	105
20220526 051124	9	68	64	129	111	113	44	8	95	32	65	0.9885	106
20220526 051529	10	66	63	133	56	113	86	24	107	27	20	0.9902	107
20220526 051903	8	77	40	45	110	87	106	126	23	6	126	0.9862	108
20220526 052233	8	77	68	62	115	3	86	113	46	26	98	0.9861	109
20220526 052459	5	77	20	76	123	2	131	104	89	123	100	0.9532	110
20220526 052846	9	81	56	104	51	89	17	0	101	129	86	0.9828	111
20220526 053134	6	68	60	81	125	70	91	125	80	45	74	0.9894	112
20220526 053419	6	53	77	132	102	46	120	12	104	50	110	0.9819	113
20220526 053742	8	56	84	140	38	110	120	8	70	22	93	0.9853	114
20220526 054058	8	65	88	133	43	3	102	31	83	94	95	0.9802	115
20220526 054505	10	63	71	124	66	101	106	128	39	29	54	0.9875	116
20220526 054834	8	65	57	106	128	124	93	66	30	31	104	0.9879	117
20220526 055252	10	75	52	61	28	102	54	4	94	15	53	0.9794	118
20220526 055651	9	63	77	67	48	96	85	46	76	7	38	0.9862	119
20220526 055931	6	55	92	118	135	57	27	95	77	79	52	0.9791	120
20220526 060300	10	74	55	138	132	100	22	97	84	15	41	0.9866	121
20220526 060550	6	74	30	62	115	44	122	80	113	12	101	0.9817	122
20220526 060930	10	70	70	140	42	82	131	29	47	27	22	0.9847	123
20220526 061219	6	54	77	115	76	77	102	92	86	50	101	0.9858	124
20220526 061549	10	55	86	140	125	96	110	99	58	21	0	0.9803	125
20220526 061919	8	50	89	132	70	92	129	61	10	30	25	0.9839	126
20220526 062253	8	62	89	37	114	40	107	129	0	103	36	0.9864	127
20220526 062655	10	80	29	139	112	102	49	12	89	17	59	0.9879	128
20220526 063014	8	83	38	116	123	100	36	12	96	9	118	0.9879	129
20220526 063350	8	71	87	38	50	22	97	128	1	43	32	0.9798	130
20220526 063726	8	71	71	53	107	45	117	127	69	64	97	0.9898	131
20220526 064055	8	75	85	34	130	37	57	125	49	118	94	0.9859	132
20220526 064406	7	54	89	51	137	112	77	127	20	52	21	0.9854	133
20220526 064801	9	73	94	39	66	99	38	15	56	41	6	0.984	134
20220526 065103	7	45	94	137	85	89	102	36	27	91	77	0.98	135
20220526 065440	9	80	43	131	109	119	18	40	68	15	69	0.9869	136
20220526 065645	4	52	106	78	107	56	41	11	27	58	7	0.9669	137
20220526 065850	4	42	105	56	133	63	140	51	86	122	0	0.9548	138
20220526 070210	10	67	73	138	93	96	81	7	112	119	49	0.9853	139
20220526 070536	8	75	65	67	121	90	76	115	30	40	114	0.9917	140
20220526 070905	8	74	54	110	66	78	76	59	103	21	105	0.9909	141
20220526 071132	5	61	18	103	136	7	52	88	84	17	57	0.9522	142
20220526 071421	6	54	78	36	127	96	115	99	9	52	29	0.9836	143
20220526 071712	6	61	63	101	116	78	89	71	96	26	7	0.9897	144
