Feature	Gain	Cover	Frequency
ctrx_quarter	0.0864025273888191	0.0173748944127303	0.0237673319654293
mpasivos_margen	0.0481629232195375	0.0156402863333006	0.0223489087856743
cpayroll_trx	0.0419917171362351	0.00810217332750517	0.00169044954299571
mcaja_ahorro	0.0365307709509214	0.0168203265926814	0.0240782192377044
mcuentas_saldo	0.0337658560815661	0.0274750189061789	0.0289086302306784
mtarjeta_visa_consumo	0.0317718841681878	0.0123054011140031	0.0110909034384132
mrentabilidad_annual	0.0280967097083534	0.0325282262466613	0.0327053410433377
mactivos_margen	0.0255946261978977	0.0198089032201697	0.0220768824224336
mpayroll	0.0250427566633678	0.0166280300500311	0.00425138344836162
cliente_edad	0.0250206131777918	0.0291012076447254	0.0336108002238388
Master_fechaalta	0.0228442139838654	0.0214671096935109	0.0309216253186595
Master_Fvencimiento	0.0221244736488052	0.0217989133679214	0.0310304358639557
Visa_Fvencimiento	0.0211475530507122	0.0208176278954325	0.030004507865448
numero_de_cliente	0.0206801567369623	0.0206418585828139	0.030226015046944
Visa_fechaalta	0.0201035047219311	0.0175480766429968	0.0263943294161537
mcuenta_corriente	0.0198951238632335	0.0213914735790484	0.0236507492383262
cliente_antiguedad	0.0183776916271901	0.0169242789137142	0.0259202263259342
chomebanking_trx	0.0183249461011755	0.0145546599367611	0.0256870608717279
Visa_msaldototal	0.0180775886139246	0.00829349374442992	0.0130106323447118
Master_mfinanciacion_limite	0.0179477718733835	0.0147081509199604	0.0259668594167755
Visa_msaldopesos	0.0173266646928537	0.0117078382560547	0.013030062799229
mrentabilidad	0.0164578030447387	0.0257601324862264	0.0223644531492881
mcomisiones_otras	0.0157196164323972	0.011777853256023	0.0206662314244855
ctarjeta_visa_trx	0.0156442988036439	0.0131083538456179	0.012019679164335
Visa_mfinanciacion_limite	0.0155559797075143	0.0163027139058869	0.0235030777839955
mprestamos_personales	0.0144425336160291	0.0147038643470767	0.00514129826524902
mcomisiones	0.0140720500058937	0.011204150172819	0.0190379593359448
Visa_mpagospesos	0.0132051777238801	0.0128407039112804	0.0199123297892184
ctarjeta_visa_trx2	0.012616995646013	0.00905407635685344	0.0139627246160542
Master_mlimitecompra	0.0126125830050462	0.0136045809761872	0.0186726667910216
mtransferencias_recibidas	0.01213505633526	0.0130930638374844	0.0190884785176895
Visa_mpagominimo	0.011750055042324	0.0102089229757109	0.0153733756140024
mcaja_ahorro_dolares	0.0115155049073426	0.0160552925045283	0.0163254678853448
Visa_mconsumospesos	0.0110704998783557	0.00916662164803956	0.0166208107940061
Visa_mlimitecompra	0.0107377125717197	0.0122900365391456	0.0159562892495181
ccomisiones_otras	0.00958923450883919	0.0134802194499318	0.012400516072872
cproductos	0.00858889424541219	0.00662037099768369	0.00865821053286079
mtransferencias_emitidas	0.00824397353551039	0.0125362029217142	0.0139316358888267
mcomisiones_mantenimiento	0.00799425585580932	0.0124935410686631	0.00908568053223901
Visa_cconsumos	0.00790534221436579	0.00704965072671634	0.0120429957097556
mtarjeta_visa_debitos_automaticos	0.0077964521689948	0.00935980533195618	0.0123966299819685
mautoservicio	0.00747144937245872	0.00805176306819302	0.0104807871665734
Visa_mconsumototal	0.00729988780250942	0.00605668959207605	0.0110054094385376
ctransferencias_recibidas	0.00710464538740616	0.00894408683450092	0.0100533171671952
cprestamos_personales	0.00587036585366983	0.00657601168159505	0.00218009699682895
ctransferencias_emitidas	0.00558409438534919	0.0151147522274232	0.00833955107877883
ctarjeta_debito_trx	0.00535960454677493	0.00545864419055416	0.00804032207921408
mpagomiscuentas	0.00493119255016651	0.00877736825512679	0.00770223217061494
Visa_mpagado	0.00475393943155759	0.00766972259784653	0.00721647080768513
mcuenta_debitos_automaticos	0.00474434302508819	0.00667433612982037	0.00697941926257539
Master_mpagospesos	0.00469453807035404	0.0149005402767807	0.00744963626189144
ccomisiones_mantenimiento	0.00462821157683037	0.00871376824619464	0.00320991108624013
mextraccion_autoservicio	0.00455624025219862	0.0125291350776079	0.00638873344525275
thomebanking	0.00436254152434598	0.00241621799808754	0.00279409935957222
