Feature	Gain	Cover	Frequency
ctrx_quarter	0.138218701521197	0.0687951299402106	0.032843137254902
Visa_mconsumospesos	0.11948130560903	0.0121528167967415	0.0215686274509804
Visa_mpagospesos	0.100771194773359	0.000720518397715995	0.0161764705882353
Visa_msaldopesos	0.0859109919551042	0.00349017673133416	0.0132352941176471
chomebanking_trx	0.0599641841168493	0.039230364344514	0.021078431372549
Master_msaldototal	0.0534468275124353	0.000483271809078089	0.00441176470588235
ctarjeta_visa_trx	0.0524143506562539	0.0426918682761421	0.0151960784313725
mrentabilidad_annual	0.0508666127538946	0.00885264054538713	0.0372549019607843
mcaja_ahorro	0.0380087359150749	0.00325358041171864	0.0127450980392157
mtarjeta_visa_consumo	0.0354556100645384	0.0246029487830642	0.0132352941176471
mprestamos_personales	0.0259675622588315	0.0178230204256409	0.0137254901960784
Visa_mpagominimo	0.024101578032247	0.00583289280993884	0.0102941176470588
mpayroll	0.0237753001532054	0.145102025380732	0.0387254901960784
mtransferencias_recibidas	0.0199334705254513	0.0156155399827866	0.0132352941176471
Visa_mpagado	0.0178421663428047	0.00869354816487782	0.00784313725490196
mcomisiones	0.0166636164233712	0.00487655028707142	0.0166666666666667
Master_mfinanciacion_limite	0.0110956276486533	0.0111560356690441	0.0245098039215686
mtarjeta_visa_debitos_automaticos	0.0106640602498339	0.0265968361729701	0.0156862745098039
Visa_msaldototal	0.0101850949355937	0.0132860121727923	0.0147058823529412
Master_Fvencimiento	0.00943607631010814	0.0155860949886164	0.0313725490196078
numero_de_cliente	0.00921023555943654	0.014607135296314	0.0372549019607843
cextraccion_autoservicio	0.00833470551377828	0.00203428535292193	0.00441176470588235
Visa_Fvencimiento	0.00755566063762076	0.0102127188475315	0.028921568627451
ctarjeta_visa_debitos_automaticos	0.00672820696847029	0.000498329601127827	0.00343137254901961
mcaja_ahorro_dolares	0.00570360465896045	0.0144167283981952	0.0137254901960784
Master_fechaalta	0.00552582818799263	0.00958455897190192	0.0254901960784314
mtarjeta_visa_descuentos	0.00543958089879707	0.0128917865779678	0.00931372549019608
mcuentas_saldo	0.00524854714727917	0.0162588795759075	0.0303921568627451
mttarjeta_master_debitos_automaticos	0.00481319193045773	0.00144658440302926	0.00343137254901961
Visa_cconsumos	0.00293359644999988	0.00309765809269349	0.00735294117647059
cliente_antiguedad	0.0026536661447159	0.00729597778941127	0.0196078431372549
mrentabilidad	0.00253884895568376	0.0118843572950288	0.0259803921568627
mautoservicio	0.00223738711792638	0.00301430173238577	0.0107843137254902
Visa_msaldodolares	0.00206079147214329	0.00429801406621307	0.00686274509803922
cproductos	0.00182814013526808	0.00505736571710997	0.00882352941176471
mactivos_margen	0.00167913267197851	0.0298408047957015	0.0235294117647059
Visa_fechaalta	0.00166340538630968	0.0121300370600508	0.0240196078431373
mpasivos_margen	0.00161028912441335	0.00754346611515183	0.0191176470588235
cpayroll_trx	0.00158760363395695	0.0354293996622909	0.00931372549019608
mpagomiscuentas	0.00135986608559364	0.0101214373335133	0.00784313725490196
mcuenta_debitos_automaticos	0.0013330731085384	0.0215953123081579	0.0117647058823529
Master_msaldopesos	0.00128877486963716	0.00805941394260506	0.00637254901960784
mcuenta_corriente	0.0012314290756331	0.0269771825883479	0.0284313725490196
cliente_edad	0.000949092842277156	0.00649187950141111	0.0215686274509804
mcomisiones_otras	0.000895197556975325	0.00805835725544368	0.00931372549019608
Master_mpagosdolares	0.000837454931305062	0.00665056546378142	0.0053921568627451
Master_mpagospesos	0.000647640198056953	0.012056414414172	0.00980392156862745
mtransferencias_emitidas	0.000644482422657396	0.00132583757393406	0.00882352941176471
ccheques_depositados	0.000628253418261099	0.00468494445544257	0.00245098039215686
ccomisiones_otras	0.000619431252685095	0.0276184291280531	0.00931372549019608
ctarjeta_visa_descuentos	0.000527140729372591	0.012950290469076	0.00588235294117647
Master_mpagominimo	0.000507692742676422	0.00250193038455569	0.00441176470588235
Master_msaldodolares	0.000493592244059829	0.00415706825560986	0.00343137254901961
ccajas_trx	0.000482300631807697	8.49413910498029e-06	0.000490196078431373
mcajeros_propios_descuentos	0.000396406525491778	0.00139206340968318	0.00343137254901961
Master_mconsumospesos	0.000376416381202457	0.000731471366561891	0.00245098039215686
cpagomiscuentas	0.000241251005941974	0.00185558329720615	0.00441176470588235
Visa_mfinanciacion_limite	0.000222859195483754	0.00944997360517396	0.0117647058823529
cprestamos_personales	0.000214846790567433	0.0011176295613273	0.00245098039215686
cinversion2	0.000206482610068085	8.12836277988544e-06	0.000490196078431373
mcheques_depositados	0.000203022640643905	0.00110230759748721	0.00294117647058824
Visa_mpagosdolares	0.000187816982724859	0.00636503640023099	0.00490196078431373
Visa_mconsumosdolares	0.000159023562981982	0.00458878592375653	0.00392156862745098
mplazo_fijo_dolares	0.000155631785567616	0.0142094145054942	0.00490196078431373
ctransferencias_emitidas	0.000140564023352052	0.0031290538939308	0.00686274509803922
Visa_fultimo_cierre	0.000131477704303071	0.000251389939874907	0.00490196078431373
ctarjeta_visa_trx2	0.000113693065060041	0.000267829553597225	0.00294117647058824
active_quarter	0.00010108623833631	2.96482032396321e-05	0.00196078431372549
ccomisiones_mantenimiento	8.86682270204786e-05	0.00363813325483502	0.00490196078431373
ccuenta_debitos_automaticos	7.74344270992976e-05	0.00133634348282707	0.00392156862745098
Visa_mlimitecompra	7.09152882724262e-05	0.00563015112130155	0.00588235294117647
mextraccion_autoservicio	5.63517244177727e-05	0.00556473812183042	0.00343137254901961
Master_mpagado	5.37176103880624e-05	0.00809113487835356	0.00245098039215686
ctransferencias_recibidas	5.15910465390619e-05	0.00612994382772976	0.00441176470588235
ctarjeta_debito	4.69530716025251e-05	0.00202329174226213	0.00637254901960784
Master_fultimo_cierre	3.52119357246266e-05	0.00591667590929251	0.00637254901960784
Master_cconsumos	3.0471087982607e-05	0.0038134823609041	0.00392156862745098
ctarjeta_master_trx	3.04190226110285e-05	0.00280826805682262	0.00147058823529412
ccajas_consultas	2.9887665208543e-05	0.00294342240894517	0.00245098039215686
mtarjeta_master_consumo	2.95941746354365e-05	0.00119155702081036	0.00343137254901961
ccaja_seguridad	2.91873159742728e-05	0.0105253560009528	0.0053921568627451
matm_other	2.90276929634617e-05	0.0109744683654484	0.00343137254901961
Master_Finiciomora	2.89709539216953e-05	0.00631449830464705	0.00245098039215686
mcaja_ahorro_adicional	2.81370910788243e-05	0.00120842337357862	0.00490196078431373
mdescubierto_preacordado	2.67389450978829e-05	0.00215472736841288	0.00343137254901961
ccaja_ahorro	2.38204644054789e-05	0.00255305778644117	0.00343137254901961
ctarjeta_debito_trx	2.37119164895198e-05	0.00627036129475228	0.00441176470588235
minversion1_pesos	2.18506770706203e-05	0.00110169797027872	0.000980392156862745
catm_trx_other	2.14505965962522e-05	0.00162443298065316	0.00147058823529412
thomebanking	2.03144101044597e-05	5.99669964086048e-05	0.000980392156862745
tpaquete7	1.94438630033575e-05	0.00603081844362905	0.00441176470588235
ccajeros_propios_descuentos	1.93774420847118e-05	0.000783005186586365	0.000980392156862745
mcomisiones_mantenimiento	1.80744708132071e-05	0.00104874168676777	0.00245098039215686
Visa_delinquency	1.79986924487812e-05	0.000447263161963196	0.000980392156862745
ccallcenter_trx	1.75588154103407e-05	0.000600056061318093	0.00245098039215686
matm	1.75356369986785e-05	0.000163705226386893	0.00147058823529412
cforex	1.70549348670443e-05	0.00161185433925128	0.000980392156862745
cforex_buy	1.5898754700314e-05	0.00193623697688956	0.00147058823529412
cmobile_app_trx	1.50268601943184e-05	5.89306301541694e-06	0.000980392156862745
cpagodeservicios	1.38774348820101e-05	0.00190715775904452	0.00147058823529412
tpaquete9	1.37802084051186e-05	0.000346674672562114	0.00196078431372549
ctarjeta_master	1.30355391420498e-05	0.000670671212968348	0.000980392156862745
ctarjeta_master_debitos_automaticos	1.17409222358927e-05	0.00239963493897083	0.00245098039215686
mtarjeta_master_descuentos	9.67233653112866e-06	0.000442873846062058	0.000980392156862745
mprestamos_prendarios	8.49198339047182e-06	0.000915822634409692	0.000490196078431373
Master_mlimitecompra	7.69055550972236e-06	0.00263037883738483	0.00196078431372549
tcuentas	6.35510853703118e-06	0.00262607080511149	0.00147058823529412
mpagodeservicios	6.31239516172147e-06	6.38686105429499e-05	0.000490196078431373
ccajas_depositos	5.66117073215595e-06	0.000364089689818019	0.000490196078431373
mcheques_emitidos	5.11973427336138e-06	0.00641787075830025	0.00196078431372549
mforex_buy	4.63696418446214e-06	0.00111596324695742	0.000980392156862745
cliente_vip	4.60759311747482e-06	0.000426962575920432	0.000980392156862745
cseguro_vida	4.37436006574472e-06	0.000235925729686175	0.000980392156862745
ctarjeta_visa	3.4977194057703e-06	0.000120198164607556	0.000980392156862745
Visa_Finiciomora	2.79433987286754e-06	0.00104945291851101	0.000490196078431373
cprestamos_prendarios	2.54435036753768e-06	0.000695604965795646	0.000490196078431373
cforex_sell	2.34638200280149e-06	9.53050535941568e-06	0.000490196078431373
Master_status	1.45548288171338e-06	0.000162993994643653	0.000490196078431373
cseguro_vivienda	1.40318535037232e-06	0.000123530793347309	0.000490196078431373
tmobile_app	1.40156806240024e-06	4.1718821967762e-05	0.000490196078431373
cinversion1	1.39744823186472e-06	0.000326882109193093	0.000490196078431373
cseguro_accidentes_personales	1.06147337455423e-06	0.000351470406602246	0.000490196078431373
internet	1.04210263695564e-06	1.75775845115023e-05	0.000490196078431373
cplazo_fijo	9.37006430866319e-07	0.0023840488033404	0.000490196078431373
catm_trx	8.76845201825373e-07	0.0015111845662224	0.000490196078431373
