Feature	Gain	Cover	Frequency
ctrx_quarter	0.127583406352713	0.0361099171748751	0.0344073280772912
mpasivos_margen	0.0654321930928533	0.0248644526247672	0.0274347172218931
cpayroll_trx	0.0604930682857442	0.0228925989529803	0.00587886797611995
mpayroll	0.0473027098417808	0.0424168891649862	0.0143098026705555
mcaja_ahorro	0.0395835823018312	0.0154891528405217	0.0237889076242993
mtarjeta_visa_consumo	0.0326914958422632	0.0154925745459585	0.0185024837077884
mcuentas_saldo	0.0293184924644498	0.0358279992145299	0.0281183065214419
ctarjeta_visa_trx	0.0268166724769014	0.0139768557310251	0.0187759194276079
Visa_msaldototal	0.0258726833256166	0.0145089090924185	0.0178644670282095
mprestamos_personales	0.0237264829838048	0.0261203074158106	0.00884108827416488
mrentabilidad_annual	0.023103035456478	0.0250127883901341	0.0262042564827052
mactivos_margen	0.0230351753553022	0.0244240367146311	0.0238344802442692
Visa_msaldopesos	0.0222417622490544	0.022344001630204	0.0257941029029759
ctarjeta_visa_trx2	0.0222128694720947	0.0130167460837377	0.0179100396481794
Master_Fvencimiento	0.0169318845742892	0.0226565730182435	0.0300779291801486
Master_fechaalta	0.0167333143250245	0.0315878839082345	0.0283917422412615
Visa_fechaalta	0.0166446833799932	0.0139210058251915	0.0226040195050813
cliente_edad	0.0153563295170843	0.0256871669185563	0.0276170077017728
chomebanking_trx	0.0152148360336467	0.01805138014481	0.0211001230460739
numero_de_cliente	0.01481211541053	0.0155255049517466	0.0231053183247505
Visa_Fvencimiento	0.0145945751030889	0.0141916246716397	0.0248826505035775
mcomisiones_otras	0.0132397479768808	0.0104275475060561	0.018137902748029
Master_mfinanciacion_limite	0.0125391028396552	0.0127082919711555	0.0209634051861642
mrentabilidad	0.0123787563923614	0.0112698547284701	0.0165884336690516
mcaja_ahorro_dolares	0.0122714467130407	0.0216982319279138	0.0219660028255024
cliente_antiguedad	0.0121968744103977	0.0116761112884771	0.0177277491682997
Visa_mpagominimo	0.0119018539722582	0.0118877844746286	0.0178188944082395
mcuenta_corriente	0.0117997318362579	0.00943325199588086	0.013443922891127
mcomisiones	0.0116646928404715	0.0103284755653652	0.0179100396481794
Visa_mfinanciacion_limite	0.010860877203196	0.0138448440271019	0.0173631682085403
ccomisiones_otras	0.00970869901943505	0.01527806293506	0.0150845372100442
Master_mlimitecompra	0.00876348109426122	0.0105019220322994	0.0152668276899239
mtransferencias_recibidas	0.00874771281510994	0.00854256990599182	0.0136717859909766
mautoservicio	0.0086293953518814	0.0138561103899441	0.0179556122681493
Visa_mconsumospesos	0.00850689439580389	0.0110902635398307	0.01754545868842
Visa_mpagospesos	0.00809729839947604	0.0101967539422129	0.015221255069954
Visa_mlimitecompra	0.00809156475461144	0.0164333470347631	0.0144920931504352
mcomisiones_mantenimiento	0.00732678066514952	0.00787357814629289	0.00902337875404457
ctarjeta_debito_trx	0.00718033409428407	0.0134076002905568	0.0157225538896231
mpagomiscuentas	0.00687429238388585	0.0172181402858462	0.0113931549924805
Visa_mconsumototal	0.00683416272249466	0.00795114512058964	0.0128970514514879
Master_mpagospesos	0.00653323154536995	0.0199328284288288	0.0100715490133528
cproductos	0.00648667506825752	0.00928059932957998	0.00943353233377387
mtransferencias_emitidas	0.0062728092139136	0.0076532384072187	0.0108918561728114
mtarjeta_visa_debitos_automaticos	0.00608880603098675	0.00969004833764044	0.010527275213052
cprestamos_personales	0.00595311727827832	0.00311727190613289	0.00241534885840587
ctransferencias_recibidas	0.00560418366433843	0.0146110799067206	0.00856765255434535
Visa_cconsumos	0.00536462825185931	0.00533002362194779	0.0097069680535934
mcuenta_debitos_automaticos	0.00454375817422771	0.00942942324162039	0.00779291801485667
ccaja_ahorro	0.00416636231945076	0.0179192795451667	0.00501298819669143
Master_msaldopesos	0.0036365765371205	0.00571073124008315	0.00501298819669143
mextraccion_autoservicio	0.00363524754031537	0.00858292856291742	0.0104817025930821
ctransferencias_emitidas	0.00357584695445478	0.004124471331889	0.00528642391651096
Visa_mpagado	0.00318159693711041	0.0134347571532604	0.00733719181515745
cmobile_app_trx	0.0030662383074224	0.000798653185548576	0.00218748575855626
ctarjeta_debito	0.00292275663876434	0.00446379253380848	0.00483069771681174
Master_msaldototal	0.00290660628605231	0.00382262669407502	0.00496741557672151
ccaja_seguridad	0.00287380323915754	0.0122541206180143	0.00341794649774416
Visa_mconsumosdolares	0.00267874236521028	0.00380451692035912	0.00464840723693205
ccuenta_debitos_automaticos	0.00267179577969974	0.0057829909839325	0.00583329535615003
ccomisiones_mantenimiento	0.00240142989917627	0.00262194963245542	0.0039192453174133
thomebanking	0.00233667506227223	0.00244072089107735	0.00255206671831564
ccallcenter_trx	0.00226463873971612	0.00877447232697521	0.00337237387777423
mplazo_fijo_dolares	0.00215193832866483	0.0143542788862389	0.00314451077792462
cpagomiscuentas	0.00215170346204811	0.00650173003625887	0.00505856081666135
Master_mpagominimo	0.00214842766488142	0.00235844088404124	0.00341794649774416
ctarjeta_visa_debitos_automaticos	0.0020656714627817	0.0040121087012561	0.00464840723693205
Visa_mpagosdolares	0.00202981932015546	0.00237747392558695	0.00241534885840587
mtarjeta_master_consumo	0.00199259713868707	0.00443735775388388	0.00314451077792462
Master_fultimo_cierre	0.0019852609329726	0.0027689394854285	0.00332680125780431
cseguro_accidentes_personales	0.00181397932068268	0.00841491721150165	0.00300779291801486
cextraccion_autoservicio	0.00173507691085287	0.00365413187470782	0.00510413343663127
Master_cconsumos	0.00170512446777353	0.00589427594890594	0.003509091737684
catm_trx	0.00162965497170915	0.00531228502685266	0.0039192453174133
matm	0.00160153370957584	0.00376636506069567	0.00519527867657112
mtarjeta_visa_descuentos	0.00107946548340896	0.00765425213034265	0.00387367269744338
tcallcenter	0.000969757813498579	0.00259226470023803	0.00145832383903751
Master_mconsumospesos	0.000947987638972452	0.0025690410832553	0.00250649409834571
Visa_fultimo_cierre	0.000859764802981816	0.00198554829140453	0.0022786309984961
ctarjeta_master_trx	0.000837831338499977	0.000900714829668088	0.00150389645900743
cplazo_fijo	0.000809721598796118	0.00544239872917299	0.00127603335915782
Master_mconsumototal	0.000763432118627329	0.00157361020318126	0.00159504169894727
ccajas_consultas	0.000704083372348196	0.00737003067914507	0.00145832383903751
Visa_delinquency	0.000520116442074416	0.00085651182274166	0.000501298819669143
Master_mpagosdolares	0.000347739469640968	0.00043323095254838	0.00109374287927813
ctarjeta_visa_descuentos	0.000278275338264522	0.00295123497544777	0.00186847741876681
Visa_msaldodolares	0.000251310238033812	0.000557756701094674	0.000592444059608987
Master_msaldodolares	0.000233281247899443	0.000119004856455847	0.00022786309984961
Master_status	0.000201389018975098	0.000252197157924914	0.000410153579729299
ctarjeta_master_debitos_automaticos	0.000173020083158138	0.000588445998991801	0.000319008339789455
Master_mconsumosdolares	0.000159940002520428	0.000350720128554815	0.00104817025930821
mttarjeta_master_debitos_automaticos	0.000154146782468603	0.000484685978746159	0.000546871439639065
matm_other	0.000140201624267083	0.00067061371669726	0.000410153579729299
ctarjeta_master	0.000139957774099913	0.000285388012577147	0.00022786309984961
ccajas_trx	0.000111159618493494	0.000347605659203226	0.00022786309984961
cseguro_vida	0.000105674302224845	0.000488948294588869	0.000364580959759377
mdescubierto_preacordado	8.31177717720655e-05	0.000101068195458039	9.11452399398441e-05
mcaja_ahorro_adicional	7.27525616671003e-05	0.000164921835248773	9.11452399398441e-05
Master_madelantopesos	7.2268389229112e-05	0.00010837479982068	0.00022786309984961
Master_mpagado	7.06098246030742e-05	0.00104775926773245	0.00022786309984961
Visa_madelantodolares	6.96084716556109e-05	9.16093789245462e-05	0.000182290479879688
Visa_cadelantosefectivo	6.8159460562446e-05	7.64456405642574e-05	0.000136717859909766
Visa_Finiciomora	4.59061056355688e-05	0.00098654910593418	0.000182290479879688
Master_madelantodolares	4.52690771846455e-05	5.51652528314445e-05	0.000136717859909766
cinversion2	3.66724490109461e-05	0.000497154773170772	9.11452399398441e-05
Visa_status	3.5443869731645e-05	0.000104326145621018	9.11452399398441e-05
catm_trx_other	2.71416913296135e-05	0.000192297038317594	0.000182290479879688
cseguro_vivienda	2.51295074755298e-05	7.80114528972545e-05	9.11452399398441e-05
minversion2	1.83507234667915e-05	0.000248577386585386	4.55726199699221e-05
mforex_sell	1.35332262186568e-05	8.3367030139796e-05	9.11452399398441e-05
Visa_madelantopesos	1.25173416914851e-05	8.6415997381837e-05	9.11452399398441e-05
Master_delinquency	1.22899967445343e-05	3.92092508604361e-05	9.11452399398441e-05
Master_cadelantosefectivo	5.90409957141307e-06	2.79007795192396e-05	9.11452399398441e-05
mcajeros_propios_descuentos	2.44318983314782e-06	6.33764101354577e-05	4.55726199699221e-05
cforex_sell	2.12828144270075e-06	4.97098628505446e-05	4.55726199699221e-05
ccajeros_propios_descuentos	1.11654884965361e-06	4.44338238838823e-05	4.55726199699221e-05
ctarjeta_visa	5.36735108886467e-11	0.000204035952092961	0.000136717859909766
